audit_id,result_id,approval_status
1,1469689325844480347,Rejected
2,1469918505927959840,Rejected
3,1469689325843980528,Rejected
4,1469918505932965248,Rejected
5,1469997855005221620,Rejected
6,1469689325843982000,Rejected
7,1470002575937835500,Validated
8,1470002575940951298,Validated
9,1470002575940985937,Validated
10,1470002575926505138,Validated
11,1470002575931192211,Validated
12,1470157558588618027,
13,1470157558590388463,Validated
14,1470157558590499343,Validated
15,1470157558588337953,
16,1470002575927845064,Validated
17,1469986569867537206,Rejected
18,1470002575930742502,Validated
19,1469986569867544480,Rejected
20,1470002575944880448,Validated
21,1469918505927833758,Rejected
22,1470002575928156239,Validated
23,1470002575943185994,Validated
24,1470002575948727808,Validated
25,1470002575941052015,Validated
26,1470002575933512583,Validated
27,1470002575937748865,Validated
28,1470002575946577304,Validated
29,1470002575960585973,Validated
30,1470002575933219342,Validated
31,1470002575937018437,Validated
32,1470002575931125857,Validated
33,1469997855006401061,Validated
34,1470002575943251986,Validated
35,1470002575940108894,Validated
36,1470002575938180552,Validated
37,1470002575937590384,Validated
38,1470002575933502742,Validated
39,1470002575937712139,Validated
40,1470002575936741048,Validated
41,1470002575935827588,Validated
42,1470002575935449429,Validated
43,1470002575946474923,Validated
44,1470002575942054478,Validated
45,1470002575940073665,Validated
46,1470002575941485693,Validated
47,1470002575946596752,Validated
48,1469997855002953057,
49,1470157558592062424,Validated
50,1469997855006588049,Validated
51,1470002575931311208,Validated
52,1469997855004192517,Validated
53,1469918505927911844,Rejected
54,1469918505928827907,Rejected
55,1469997855006336495,Validated
56,1470002575948054376,Validated
57,1470002575940273300,Validated
58,1469918505927707820,Rejected
59,1470002575933472203,Validated
60,1470002575932188929,Validated
61,1470002575938157401,Validated
62,1470002575946478571,Validated
63,1470002575942342926,Validated
64,1470002575932637455,Validated
65,1470157558590481248,Validated
66,1470002575931918527,Validated
67,1470002575935216785,Validated
68,1470002575931262121,Validated
69,1470157558590430492,Validated
70,1470002575936665777,Validated
71,1470002575944974234,Validated
72,1470002575944608241,Validated
73,1470002575937762822,Validated
74,1470157558591906404,Validated
75,1470002575941471172,Rejected
76,1470002575936658390,Validated
77,1470002575937903225,Validated
78,1470002575936992152,Validated
79,1470002575940201645,Validated
80,1469997855002392848,Validated
81,1470002575946334070,Validated
82,1470002575940970941,Validated
83,1470002575941500666,Validated
84,1470002575944932708,Validated
85,1470002575948919203,Validated
86,1470002575949650365,Validated
87,1470002575931895507,Validated
88,1470002575936457697,Validated
89,1470002575935313130,Validated
90,1470002575941585152,Validated
91,1470002575936722841,Validated
92,1470002575939143769,Validated
93,1470002575940943075,Validated
94,1470002575941514544,Validated
95,1470002575937539867,Validated
96,1470002575937354470,Validated
97,1470002575961907647,Validated
98,1470002575931100699,Validated
99,1470002575948022210,Validated
100,1469986569865808429,Rejected
101,1470002575946417365,Validated
102,1469918505927969131,Rejected
103,1469997855002828643,
104,1469997855002385465,Validated
105,1470157558592047230,Validated
106,1470157558590499083,Validated
107,1470002575930362830,Validated
108,1469997855002653822,Validated
109,1470002575931215917,Validated
110,1469997855004914657,Validated
111,1470002575940248390,Validated
112,1470002575949596141,Validated
113,1470002575944804288,Validated
114,1470002575944949508,Validated
115,1469997855004919678,Validated
116,1470002575927650370,Validated
117,1470002575944752540,Validated
118,1470002575943434416,Validated
119,1469918505927956180,Rejected
120,1470157558591742851,Validated
121,1470002575939093610,Validated
122,1470002575939362529,Validated
123,1470002575935234678,Validated
124,1470002575944725076,Validated
125,1470157558592062939,Validated
126,1470157558588976067,Validated
127,1470157558589537014,Validated
128,1470002575945013661,Validated
129,1470002575936627587,Validated
130,1470002575938729596,Validated
131,1470157558594436608,Validated
132,1470002575936990157,Validated
133,1470002575936992463,Validated
134,1470002575936990789,Validated
135,1470002575943410447,Validated
136,1470002575940973897,Validated
137,1470002575937978217,Validated
138,1470002575941386552,Validated
139,1469986569859940758,Rejected
140,1470002575944732514,Validated
141,1470002575934466219,Validated
142,1470002575942815116,Validated
143,1470002575937914371,Validated
144,1470002575933336763,Validated
145,1470157558593443444,Validated
146,1470002575943137508,Validated
147,1469997855004066665,Validated
148,1470002575930951132,Validated
149,1469997855004061078,Validated
150,1470002575928775136,Validated
151,1469997855005221826,Validated
152,1470002575941060465,Validated
153,1470002575941523615,Validated
154,1470002575926421199,Validated
155,1469997855005922347,Validated
156,1470002575928804122,Validated
157,1469997855005054783,Validated
158,1469997855005492944,Validated
159,1470002575952537336,Validated
160,1470002575943062467,Validated
161,1470002575942985204,Validated
162,1470157558589159223,Validated
163,1470002575938939665,Validated
164,1470002575936638083,Validated
165,1470002575935255311,Validated
166,1470002575927720475,Validated
167,1470002575927376372,Validated
168,1470157558590836037,Validated
169,1470002575931982220,Validated
170,1470002575933821910,Validated
171,1470002575939852844,Validated
172,1470002575933248486,Validated
173,1470002575933211067,Validated
174,1470002575936699999,Rejected
175,1470157558590384428,Validated
176,1470157558585669920,
177,1470157558593442851,Validated
178,1470157558589147658,Validated
179,1470002575938938749,Validated
180,1470002575946452666,Validated
181,1470002575934457006,Validated
182,1470002575944280822,Validated
183,1470002575940906558,Validated
184,1470002575941257068,Validated
185,1470002575935406848,Validated
186,1470002575944658198,Validated
187,1470002575940186633,Validated
188,1470002575941402671,Validated
189,1470002575943110215,Validated
190,1470002575941752275,Validated
191,1470002575938116158,Validated
192,1470002575939512922,Validated
193,1470002575941591338,Validated
194,1469918505927954357,Rejected
195,1470157558574525447,Rejected
196,1470002575943102195,Validated
197,1469997855005748394,Validated
198,1469997855006404975,Validated
199,1469997855002417326,Validated
200,1469918505929686959,Rejected
201,1470002575927895677,Validated
202,1470002575929976890,Validated
203,1469997855006394125,Validated
204,1470002575940309769,Validated
205,1470002575941572104,Validated
206,1469918505927976424,Rejected
207,1470002575934570245,Validated
208,1470157558590494760,Validated
209,1470157558592200560,Validated
210,1470157558588618240,
211,1470002575944666743,Validated
212,1469986569867522635,Validated
213,1470002575935804771,Validated
214,1470002575942387190,Validated
215,1470002575940052704,Validated
216,1469997855002754546,Validated
217,1470157558591962442,Validated
218,1470157558590504890,Validated
219,1470157558589155539,Validated
220,1470002575945049000,Validated
221,1470002575937585307,Validated
222,1470002575945756452,Validated
223,1470002575939011100,Validated
224,1470002575937867373,Validated
225,1470002575934155635,Validated
226,1470002575941835571,Validated
227,1470002575940049997,Validated
228,1470002575939920686,Validated
229,1470002575949571952,Validated
230,1470002575943414964,Validated
231,1470157558591961240,Validated
232,1470157558593320298,Validated
233,1470157558590440860,Validated
234,1470157558591953965,Validated
235,1470157558593959053,Validated
236,1470002575928360502,Validated
237,1470002575926992309,Validated
238,1470002575930982098,Validated
239,1470002575931356202,Validated
240,1469997855004081743,Validated
241,1469997855005118031,Rejected
242,1470002575948018056,Validated
243,1470002575938175449,Validated
244,1470002575942078341,Validated
245,1470002575940929507,Validated
246,1470002575937529259,Validated
247,1470002575934593589,Validated
248,1470002575935135472,Validated
249,1470002575941831498,Validated
250,1470002575943017125,Validated
251,1470002575940107161,Validated
252,1469997855003984630,Validated
253,1470002575934524522,Validated
254,1470002575936500329,Validated
255,1470002575944395951,Rejected
256,1470157558593271884,Validated
257,1470002575939908889,Validated
258,1470002575948290430,Validated
259,1470002575945117616,Validated
260,1470002575938816456,Validated
261,1470002575939314769,Validated
262,1470002575937761308,Validated
263,1470002575942771805,Validated
264,1470002575937850004,Validated
265,1470002575940160523,Validated
266,1470002575936991494,Validated
267,1470002575941493124,Validated
268,1470002575937622099,Validated
269,1470002575945966112,Validated
270,1470002575941540772,Validated
271,1470157558590832615,Validated
272,1470002575926582485,Validated
273,1469997855002494547,Validated
274,1469997855002730038,Validated
275,1470002575928817937,Validated
276,1470002575927769090,Validated
277,1470002575928545635,Validated
278,1469918505927888865,Rejected
279,1470002575927484925,Validated
280,1470002575927113589,Validated
281,1470002575948029189,Validated
282,1469997855006410495,Validated
283,1469918505928581682,Rejected
284,1469997855004186696,Validated
285,1470002575938767788,Validated
286,1470002575943825632,Validated
287,1470002575948046309,Validated
288,1470002575943304078,Validated
289,1470002575938937288,Validated
290,1470002575927805171,Validated
291,1470157558588969665,Validated
292,1470002575927937991,Validated
293,1470002575931166660,Validated
294,1470002575926389626,Validated
295,1470002575936804447,Validated
296,1470002575939451322,Validated
297,1470002575934622896,Validated
298,1470002575938106279,Validated
299,1470002575945957023,Validated
300,1470157558589153531,Validated
301,1470157558588209434,
302,1470157558593108135,Validated
303,1470002575937482198,Validated
304,1470157558591893090,Validated
305,1470157558588954798,Validated
306,1470002575948806552,Validated
307,1470002575933384287,Validated
308,1470002575941937935,Validated
309,1470002575936993418,Validated
310,1470002575947400634,Validated
311,1470002575938064861,Validated
312,1470002575938247972,Validated
313,1470002575941029677,Validated
314,1469918505927954835,Rejected
315,1469997855005416163,Validated
316,1470157558593498348,Validated
317,1470157558593920376,Validated
318,1470002575941189789,Validated
319,1470002575944605901,Validated
320,1470002575939232238,Validated
321,1470002575928515034,Validated
322,1470002575928403395,Validated
323,1470002575936769350,Validated
324,1470002575938975054,Validated
325,1470002575946658601,Validated
326,1470157558588328203,
327,1470157558590515407,Validated
328,1470002575933357079,Validated
329,1469997855002522129,Validated
330,1470002575927811270,Validated
331,1470002575936694514,Validated
332,1470002575944817621,Validated
333,1470002575940145406,Validated
334,1470157558591900835,Validated
335,1470157558588213778,
336,1470157558590416000,Validated
337,1470002575941038800,Validated
338,1470002575948644236,Validated
339,1470002575944790854,Validated
340,1470002575940109773,Validated
341,1470002575943383640,Validated
342,1470002575933856735,Validated
343,1470002575944300646,Validated
344,1470002575941509143,Validated
345,1469918505931501983,Rejected
346,1470002575943373057,Validated
