result_id,status,approval_status,remarks,incomplete_flag,last_sent_date,api_version,last_updated,last_modified_by
1469689325844480347,COMPLETED,Rejected,Requested by Aditya Mario through data team [DA-190],,2024-02-15 15:01:44,2.10.1,2024-02-15 10:09:16,PROD NESCAFE
1469918505927959840,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],,2024-05-15 10:02:12,2.11.0,2024-05-15 09:58:31,HIEU TRAN
1469689325843980528,COMPLETED,Rejected,Requested by Aditya Mario through data team [DA-190],,2024-02-12 06:01:24,2.10.1,2024-02-12 05:01:55,PROD NESCAFE
1469918505932965248,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],,2024-05-21 15:06:55,2.11.0,2024-05-21 15:01:20,THO NONG
1469997855005221620,COMPLETED,Rejected,Requested by Aditya Mario through data team [DA-190],,2024-07-05 15:10:10,2.11.0,2024-09-11 09:58:16,LINH NGO
1469689325843982000,COMPLETED,Rejected,Requested by Aditya Mario through data team [DA-190],,2024-02-12 06:01:24,2.10.1,2024-02-12 05:10:59,PROD NESCAFE
1470002575937835500,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:19:07,TUYEN HUYNH
1470002575940951298,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:16:09,TOAN LE
1470002575940985937,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 15:05:31,2.30.0,2024-11-29 06:26:17,TUYEN HUYNH
1470002575926505138,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:19:11,HAI LE
1470002575931192211,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:34:59,YEN NGUYEN
1470157558588618027,INCOMPLETE,,,SOIL ORGANIC MATTER,,,2024-11-17 07:24:18,HUY NGUYEN
1470157558590388463,COMPLETED,Validated,"Validated, 09/01/2025, Rosy Phan",,2024-12-05 19:11:47,2.30.0,2025-01-09 08:39:53,YEN NGUYEN
1470157558590499343,COMPLETED,Validated,"Validated, 09/01/2025, Rosy Phan",,2024-12-05 19:11:47,2.30.0,2025-01-09 08:39:32,YEN NGUYEN
1470157558588337953,INCOMPLETE,,,"CROP AREA UNIT,FARM-GATE UNIT,TEMPERATURE UNIT",,,2024-12-05 17:51:10,MINH ANH LE
1470002575927845064,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:21:57,HUY NGUYEN
1469986569867537206,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],"ENSURE FARMGATE AMOUNT >= 0.001,FARM-GATE UNIT,HARVEST YEAR,RESIDUE MANAGEMENT,RESIDUE UNIT,TEMPERATURE UNIT",,,2024-06-25 10:02:17,HUY NGUYEN
1470002575930742502,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:14:06,HAI LE
1469986569867544480,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],"CROP AREA UNIT,RESIDUE UNIT",,,2024-06-25 10:26:34,THO NONG
1470002575944880448,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:25:53,TUYEN HUYNH
1469918505927833758,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],"CROP AREA UNIT,FARM-GATE UNIT",,,2024-05-15 04:17:25,HIEU TRAN
1470002575928156239,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:14:22,HAI LE
1470002575943185994,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:32:03,TOAN LE
1470002575948727808,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:28:27,TUYEN HUYNH
1470002575941052015,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:21:28,TOAN LE
1470002575933512583,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:15:12,QUYNH TRAN
1470002575937748865,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:18:15,HUY NGUYEN
1470002575946577304,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:27:54,QUYNH TRAN
1470002575960585973,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:27:24,YEN NGUYEN
1470002575933219342,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:18:59,QUYNH TRAN
1470002575937018437,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:32:24,MAI NGUYEN
1470002575931125857,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:12:53,YEN NGUYEN
1469997855006401061,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:33:29,HAI LE
1470002575943251986,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:15:44,QUYNH TRAN
1470002575940108894,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:27:16,TUYEN HUYNH
1470002575938180552,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:11:22,HAI LE
1470002575937590384,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:16:29,TUYEN HUYNH
1470002575933502742,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:25:48,HAI LE
1470002575937712139,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:32:28,QUYNH TRAN
1470002575936741048,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:20:26,HAI LE
1470002575935827588,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:20:47,HAI LE
1470002575935449429,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:21:49,YEN NGUYEN
1470002575946474923,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:15:24,YEN NGUYEN
1470002575942054478,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:12:24,YEN NGUYEN
1470002575940073665,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:15:40,QUYNH TRAN
1470002575941485693,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:28:03,TOAN LE
1470002575946596752,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:17:14,MAI NGUYEN
1469997855002953057,INCOMPLETE,,Delete,,2024-11-28 06:09:26,2.30.0,2024-11-28 03:49:32,YEN NGUYEN
1470157558592062424,COMPLETED,Validated,"Validated, 09/01/2025, Rosy Phan",,2025-01-09 06:04:09,2.31.0,2025-01-09 08:38:45,HUY NGUYEN
1469997855006588049,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:14:14,YEN NGUYEN
1470002575931311208,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:29:33,YEN NGUYEN
1469997855004192517,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:29:25,TIEN PHAM
1469918505927911844,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],"CROP AREA,SOIL PH,TEMPERATURE VALUE",,,2024-05-15 08:04:30,TIEN PHAM
1469918505928827907,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],"CROP AREA UNIT,FARM-GATE UNIT",,,2024-05-16 09:48:03,TRINH TRIEU
1469997855006336495,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:34:34,HAI LE
1470002575948054376,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:17:42,TOAN LE
1470002575940273300,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:32:07,MAI NGUYEN
1469918505927707820,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],TEMPERATURE UNIT,,,2024-05-16 08:09:42,TUYEN HUYNH
1470002575933472203,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:20:30,QUYNH TRAN
1470002575932188929,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:27:38,HUY NGUYEN
1470002575938157401,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:19:28,HUY NGUYEN
1470002575946478571,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:28:15,MAI NGUYEN
1470002575942342926,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:17:47,HAI LE
1470002575932637455,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:12:40,HUY NGUYEN
1470157558590481248,COMPLETED,Validated,"Validated, 09/01/2025, Rosy Phan",,2024-12-05 19:11:47,2.30.0,2025-01-09 08:40:02,TIEN PHAM
1470002575931918527,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:20:55,QUYNH TRAN
1470002575935216785,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:19:48,HUY NGUYEN
1470002575931262121,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:26:55,YEN NGUYEN
1470157558590430492,COMPLETED,Validated,"Validated, 09/01/2025, Rosy Phan",,2024-12-06 06:05:09,2.30.0,2025-01-09 08:40:20,HUY NGUYEN
1470002575936665777,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:19:57,HAI LE
1470002575944974234,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:25:31,QUYNH TRAN
1470002575944608241,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:11:51,QUYNH TRAN
1470002575937762822,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:16:21,TUYEN HUYNH
1470157558591906404,COMPLETED,Validated,"Validated, 09/01/2025, Rosy Phan",,2024-12-06 06:05:09,2.30.0,2025-01-09 08:40:07,YEN NGUYEN
1470002575941471172,COMPLETED,Rejected,DELETE,,2024-11-11 10:10:11,2.29.0,2024-11-28 03:41:41,TOAN LE
1470002575936658390,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:11:30,TUYEN HUYNH
1470002575937903225,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:18:23,MAI NGUYEN
1470002575936992152,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:20:22,YEN NGUYEN
1470002575940201645,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:20:01,QUYNH TRAN
1469997855002392848,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-29 06:04:30,2.30.0,2024-11-29 09:32:17,THOA NGUYEN
1470002575946334070,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:16:25,HAI LE
1470002575940970941,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:28:19,TUYEN HUYNH
1470002575941500666,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:11:59,YEN NGUYEN
1470002575944932708,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:28:36,MAI NGUYEN
1470002575948919203,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:13:25,YEN NGUYEN
1470002575949650365,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:25:44,TOAN LE
1470002575931895507,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:33:05,HUY NGUYEN
1470002575936457697,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:15:04,QUYNH TRAN
1470002575935313130,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:27:58,YEN NGUYEN
1470002575941585152,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:16:58,YEN NGUYEN
1470002575936722841,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:21:20,TUYEN HUYNH
1470002575939143769,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:18:54,TUYEN HUYNH
1470002575940943075,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:19:24,TUYEN HUYNH
1470002575941514544,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:27:00,YEN NGUYEN
1470002575937539867,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:17:18,TUYEN HUYNH
1470002575937354470,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:20:05,HAI LE
1470002575961907647,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:20:14,YEN NGUYEN
1470002575931100699,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:17:02,YEN NGUYEN
1470002575948022210,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:25:39,TOAN LE
1469986569865808429,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],CROP AREA UNIT,,,2024-06-25 04:33:04,PHUONG NGUYEN
1470002575946417365,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:27:42,TUYEN HUYNH
1469918505927969131,INCOMPLETE,Rejected,Requested by Aditya Mario through data team [DA-190],"CLIMATE,CROP AREA,CROP AREA UNIT,CROP NAME,ENSURE FARMGATE AMOUNT >= 0.001,FARM-GATE UNIT,HARVEST YEAR,RESIDUE MANAGEMENT,RESIDUE UNIT,RESIDUE VALUE,SOIL CHARACTERISTIC,SOIL DRAINAGE,SOIL ORGANIC MATTER,SOIL PH,SOIL TEXTURE,TEMPERATURE UNIT,TEMPERATURE VALUE",,,2024-05-15 09:36:26,TIEN PHAM
1469997855002828643,INCOMPLETE,,Requested by Aditya Mario through data team [DA-190],,2024-11-28 06:09:26,2.30.0,2024-11-28 03:49:33,YEN NGUYEN
1469997855002385465,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:29:17,YEN NGUYEN
1470157558592047230,COMPLETED,Validated,"Validated, 09/01/2025, Rosy Phan",,2025-01-09 06:04:09,2.31.0,2025-01-09 08:38:58,QUYNH TRAN
1470157558590499083,COMPLETED,Validated,"Validated, 09/01/2025, Rosy Phan",,2024-12-05 19:11:47,2.30.0,2025-01-09 08:37:57,QUYNH TRAN
1470002575930362830,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:15:08,YEN NGUYEN
1469997855002653822,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:16:17,THOA NGUYEN
1470002575931215917,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:32:20,YEN NGUYEN
1469997855004914657,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:19:36,HAI LE
1470002575940248390,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:31:59,TUYEN HUYNH
1470002575949596141,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:13:37,TOAN LE
1470002575944804288,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:34:11,TOAN LE
1470002575944949508,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:12:48,TOAN LE
1469997855004919678,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 06:29:29,HAI LE
1470002575927650370,COMPLETED,Validated,"Validated, 29/11/2024, Rosy Phan",,2024-11-28 11:09:02,2.30.0,2024-11-29 08:13:37,YEN NGUYEN
