plot_id,entity_id,plot_number,year_started,production,total_coffee_area,active_coffee_area,rejuvenation_area
1470157558564695309_1,1470157558564695309,7.0,,8700.0,1.5,1.35,0.15
1470157558564695309_2,1470157558564695309,6.0,,8700.0,1.5,1.35,0.15
1470157558564695309_3,1470157558564695309,5.0,,8700.0,1.5,1.35,0.15
1470157558564695309_4,1470157558564695309,4.0,,8700.0,1.5,1.35,0.15
1470157558564695295_1,1470157558564695295,,,2220.0,0.43,0.39,0.04
1470157558564695295_2,1470157558564695295,,2012.0,14400.0,2.67,2.4,0.27
1470157558564694946_1,1470157558564694946,,2001.0,8520.0,1.66,1.5,0.17
1470157558564694946_2,1470157558564694946,,2001.0,3300.0,0.65,0.58,0.06
1470157558564694946_3,1470157558564694946,,2001.0,1620.0,0.33,0.29,0.03
1470157558564694946_4,1470157558564694946,,2001.0,1200.0,0.24,0.22,0.02
1470157558564695057_1,1470157558564695057,3.0,2001.0,2700.0,0.72,0.65,0.07
1470157558564694699_1,1470157558564694699,2.0,2009.0,7200.0,1.42,1.27,0.15
1470157558564694968_1,1470157558564694968,,2001.0,4800.0,0.95,0.85,0.09
1470157558564694704_1,1470157558564694704,,1999.0,12600.0,2.25,1.65,0.6
1470157558564695065_1,1470157558564695065,3.0,,6000.0,1.5,1.35,0.15
1470157558564694989_1,1470157558564694989,,2001.0,4200.0,0.82,0.74,0.08
1470157558564695215_1,1470157558564695215,,2000.0,9000.0,2.05,1.84,0.2
1470157558564694714_1,1470157558564694714,,2003.0,3000.0,0.56,0.51,0.06
1470157558564694722_1,1470157558564694722,,1998.0,6900.0,1.28,1.18,0.1
1470157558564694722_2,1470157558564694722,,1996.0,10800.0,1.96,1.76,0.2
1470157558564694903_1,1470157558564694903,3.0,1997.0,3900.0,0.68,0.61,0.07
1470157558564694972_1,1470157558564694972,,1998.0,1500.0,0.31,0.28,0.03
1470157558564694797_1,1470157558564694797,,,2100.0,0.4,0.36,0.04
1470157558564694797_2,1470157558564694797,,1998.0,6000.0,1.05,0.94,0.1
1470157558564695074_1,1470157558564695074,,1995.0,20000.0,3.76,3.38,0.38
1470157558564694799_1,1470157558564694799,,1997.0,6600.0,1.5,1.35,0.15
1470157558564695163_1,1470157558564695163,2.0,,5700.0,1.3,1.17,0.13
1470157558564695952_1,1470157558564695952,2.0,2007.0,1920.0,0.43,0.38,0.04
1470157558564695873_1,1470157558564695873,,2006.0,10980.0,2.74,2.46,0.27
1470157558564695063_1,1470157558564695063,2.0,2001.0,2700.0,0.74,0.66,0.07
1470157558564695879_1,1470157558564695879,,2006.0,1920.0,0.52,0.47,0.05
1470157558564695879_2,1470157558564695879,,2006.0,3300.0,0.6,0.54,0.06
1470157558564696002_1,1470157558564696002,,2007.0,540.0,0.11,0.09,0.01
1470157558564696002_2,1470157558564696002,,2007.0,1500.0,0.3,0.27,0.03
1470157558564695991_1,1470157558564695991,2.0,2007.0,2400.0,0.5,0.45,0.05
1470157558564695965_1,1470157558564695965,,1997.0,7500.0,1.9,1.71,0.19
1470157558564695965_2,1470157558564695965,,1992.0,6600.0,1.6,1.44,0.16
1470157558564695118_1,1470157558564695118,,2001.0,1320.0,0.22,0.2,0.02
1470157558564695118_2,1470157558564695118,,2001.0,1500.0,0.42,0.38,0.04
1470157558564694820_1,1470157558564694820,,2005.0,7500.0,1.33,1.2,0.13
1470157558564695191_1,1470157558564695191,3.0,,2400.0,0.65,0.58,0.06
1470157558564695191_2,1470157558564695191,2.0,,2400.0,0.65,0.58,0.06
1470157558564695739_1,1470157558564695739,,2005.0,1920.0,0.41,0.37,0.04
1470157558564695739_2,1470157558564695739,,2005.0,9300.0,1.61,1.45,0.16
1470157558564695739_3,1470157558564695739,,2013.0,1140.0,0.24,0.22,0.02
1470157558564695307_1,1470157558564695307,,1999.0,4500.0,0.78,0.7,0.08
1470157558564695573_1,1470157558564695573,,,2100.0,0.5,0.45,0.05
1470157558564695554_1,1470157558564695554,,2005.0,4500.0,0.94,0.84,0.09
1470157558564695390_1,1470157558564695390,,2003.0,6120.0,1.31,1.18,0.13
1470157558564695569_1,1470157558564695569,4.0,,15000.0,3.3,2.97,0.33
1470157558564695558_1,1470157558564695558,,2005.0,7980.0,1.5,1.35,0.15
1470157558564695558_2,1470157558564695558,,,4800.0,1.2,1.08,0.12
1470157558564695628_1,1470157558564695628,,,3000.0,0.66,0.6,0.07
1470157558564695562_1,1470157558564695562,,2005.0,3540.0,0.74,0.67,0.07
1470157558564695562_2,1470157558564695562,,2005.0,1800.0,0.44,0.4,0.04
1470157558564695658_1,1470157558564695658,,2005.0,7200.0,1.61,1.45,0.16
1470157558564695658_2,1470157558564695658,,2005.0,1020.0,0.23,0.2,0.02
1470157558564695386_1,1470157558564695386,,2003.0,2880.0,0.58,0.52,0.06
1470157558564695386_2,1470157558564695386,,2003.0,4560.0,0.94,0.85,0.09
1470157558564695504_1,1470157558564695504,,,5400.0,1.0,0.9,0.1
1470157558564695504_2,1470157558564695504,,,5700.0,1.0,0.9,0.1
1470157558564695504_3,1470157558564695504,,2004.0,5460.0,1.14,1.02,0.11
1470157558564695096_1,1470157558564695096,2.0,,1620.0,0.31,0.28,0.03
1470157558564695096_2,1470157558564695096,3.0,,1620.0,0.31,0.28,0.03
1470157558564695337_1,1470157558564695337,,,4800.0,1.0,0.9,0.1
1470157558564695889_1,1470157558564695889,,,,,,
1470157558564695757_1,1470157558564695757,,2006.0,2820.0,0.58,0.53,0.06
1469278379854639222_1,1469278379854639222,,2017.0,20000.0,5.0,0.0,0.0
1469278379854639342_1,1469278379854639342,,2012.0,10000.0,3.0,0.0,0.0
1469278379854638502_1,1469278379854638502,,2004.0,7980.0,2.0,,
1469278379854638316_1,1469278379854638316,,2004.0,6000.0,1.3,0.0,0.0
1469883818362504539_1,1469883818362504539,,1998.0,20000.0,5.0,0.0,0.0
1469278379855013128_1,1469278379855013128,2.0,2000.0,8000.0,2.0,,
1469278379855012334_1,1469278379855012334,,2015.0,25000.0,5.0,,
1469278379855013186_1,1469278379855013186,,2003.0,3500.0,1.0,,
1469883818362504743_1,1469883818362504743,,2006.0,4000.0,1.0,,
1469278379854782274_1,1469278379854782274,,1999.0,4000.0,2.0,,
1469278379855014872_1,1469278379855014872,,1997.0,4000.0,1.4,,
1469278379855004447_1,1469278379855004447,4.0,2020.0,10000.0,3.0,,
1469278379855004447_2,1469278379855004447,3.0,2020.0,10000.0,3.0,,
1469278379855004447_3,1469278379855004447,2.0,2020.0,10000.0,3.0,,
1469278379854781944_1,1469278379854781944,,2001.0,5000.0,1.5,,
1469278379854781789_1,1469278379854781789,,2000.0,9000.0,3.0,,
1469278379854781780_1,1469278379854781780,,2000.0,5000.0,2.0,,
1469278379855014611_1,1469278379855014611,,2011.0,5000.0,1.5,,
1469278379855014782_1,1469278379855014782,,2013.0,6000.0,2.0,,
1469278379855013420_1,1469278379855013420,,1997.0,22000.0,5.0,,
1469278379855013426_1,1469278379855013426,,2003.0,4000.0,1.0,,
1469278379855008977_1,1469278379855008977,,2009.0,3000.0,1.0,,
1469278379854782189_1,1469278379854782189,2.0,2011.0,13000.0,0.6,,
1469883818362504707_1,1469883818362504707,,2010.0,5000.0,1.5,,
1469278379855004763_1,1469278379855004763,2.0,2019.0,8000.0,1.8,,
1469278379854782176_1,1469278379854782176,,2009.0,10000.0,4.0,,0.0
1469278379855013194_1,1469278379855013194,2.0,2009.0,3000.0,1.0,,
1469278379854783010_1,1469278379854783010,,1999.0,10000.0,3.0,,
1469278379855012739_1,1469278379855012739,,2009.0,6000.0,1.5,,
1469278379854783130_1,1469278379854783130,,2015.0,2000.0,1.5,,
1469278379855009281_1,1469278379855009281,,2015.0,8000.0,1.5,,
1469883818362505057_1,1469883818362505057,,1997.0,2500.0,0.6,,
1469278379854782955_1,1469278379854782955,,2000.0,10000.0,2.0,,
1469278379854782066_1,1469278379854782066,,1998.0,4000.0,1.0,,
1469278379854782983_1,1469278379854782983,,2015.0,6000.0,1.5,,
1469278379855009775_1,1469278379855009775,3.0,2000.0,12000.0,3.0,,
1469278379855009775_2,1469278379855009775,2.0,2000.0,12000.0,3.0,,
1469278379854781982_1,1469278379854781982,,2001.0,2000.0,1.5,0.0,0.0
1469883818362504785_1,1469883818362504785,,2010.0,8000.0,2.5,,
1469278379854782311_1,1469278379854782311,,2013.0,5000.0,3.0,,
1469883818362504788_1,1469883818362504788,,2013.0,6000.0,2.0,,
1469278379854782873_1,1469278379854782873,,2003.0,5000.0,2.0,0.0,0.0
1469278379855013487_1,1469278379855013487,,2003.0,7000.0,1.8,,
1469278379854782303_1,1469278379854782303,,2000.0,10000.0,2.5,0.0,0.0
1469278379854782330_1,1469278379854782330,,2000.0,4000.0,3.0,0.0,0.0
1469278379855013538_1,1469278379855013538,,2000.0,5000.0,1.0,,
1469278379854677182_1,1469278379854677182,,2010.0,4000.0,1.0,,
1469278379854782765_1,1469278379854782765,2.0,2004.0,10000.0,4.0,,
1469278379854677051_1,1469278379854677051,,2009.0,6000.0,2.5,0.0,0.0
1469278379855012279_1,1469278379855012279,,1998.0,9000.0,2.0,,
1469278379854782856_1,1469278379854782856,,1996.0,15000.0,1.0,,
1469278379855009590_1,1469278379855009590,,2007.0,5000.0,0.9,,
1469278379855009590_2,1469278379855009590,,2011.0,5000.0,1.1,,
1469278379855009590_3,1469278379855009590,,2009.0,7000.0,1.3,,
1469278379854677054_1,1469278379854677054,,2004.0,5000.0,1.2,0.0,0.0
1469278379855012573_1,1469278379855012573,2.0,1996.0,3000.0,0.7,,
1469278379854783229_1,1469278379854783229,,2013.0,2000.0,1.5,,
1469278379854781962_1,1469278379854781962,,2004.0,7000.0,2.0,0.0,0.0
1469278379854677037_1,1469278379854677037,,2005.0,5000.0,1.5,0.0,0.0
1469278379855012570_1,1469278379855012570,2.0,2005.0,6000.0,1.4,,
1469883818362504744_1,1469883818362504744,,2007.0,5000.0,1.5,0.0,0.0
1469278379855012184_1,1469278379855012184,,1999.0,2000.0,0.5,,
1469883818362504715_1,1469883818362504715,,2005.0,4500.0,1.1,0.0,0.0
1469278379854783135_1,1469278379854783135,,2008.0,5000.0,1.7,,
1469278379855012158_1,1469278379855012158,,2007.0,8000.0,2.0,,
1469278379854783115_1,1469278379854783115,,1999.0,3000.0,1.2,,
1469278379854782426_1,1469278379854782426,,1995.0,3000.0,2.0,0.0,0.0
1469278379855013057_1,1469278379855013057,3.0,2005.0,1800.0,0.6,,
1469278379855013057_2,1469278379855013057,2.0,2005.0,1800.0,0.6,,
1469278379854783104_1,1469278379854783104,,2012.0,6000.0,2.0,,
1469278379854782419_1,1469278379854782419,,2000.0,5000.0,1.5,0.0,0.0
1469278379855009927_1,1469278379855009927,,2003.0,1500.0,0.5,0.0,0.0
1469278379854677226_1,1469278379854677226,,2005.0,12000.0,2.0,,
1469278379855012818_1,1469278379855012818,,2013.0,6000.0,1.5,,
1469278379854677162_1,1469278379854677162,,2000.0,5500.0,1.7,,
1469278379854782733_1,1469278379854782733,,2013.0,4000.0,1.5,0.0,0.0
1469278379854677174_1,1469278379854677174,,2000.0,6000.0,2.0,,
1469278379854783053_1,1469278379854783053,2.0,2008.0,8000.0,3.0,0.0,0.0
1469278379854782727_1,1469278379854782727,,2012.0,6000.0,3.0,0.0,0.0
1469278379855013676_1,1469278379855013676,2.0,2014.0,6000.0,1.6,,
1469278379855013697_1,1469278379855013697,,2008.0,3500.0,0.8,,
1469278379854782243_1,1469278379854782243,,1999.0,23000.0,1.5,0.0,0.0
1469278379855012382_1,1469278379855012382,,1999.0,8000.0,2.2,,
1469278379854783211_1,1469278379854783211,,2011.0,6000.0,2.3,0.0,0.0
1469278379855012339_1,1469278379855012339,,2001.0,5000.0,1.0,,
1469278379854783216_1,1469278379854783216,,2005.0,10000.0,0.5,0.0,0.0
1469278379855012856_1,1469278379855012856,,2010.0,5000.0,1.0,,
1469278379855013932_1,1469278379855013932,,1995.0,3500.0,1.0,0.0,0.0
1469278379855013152_1,1469278379855013152,,2014.0,4000.0,1.0,,
1469278379855014007_1,1469278379855014007,3.0,2011.0,20000.0,3.0,,
1469278379855014007_2,1469278379855014007,2.0,2011.0,20000.0,3.0,,
1469278379855013593_1,1469278379855013593,,2008.0,3000.0,1.0,,
1469278379855013826_1,1469278379855013826,2.0,1995.0,3500.0,1.3,,
1469278379855012881_1,1469278379855012881,2.0,2016.0,9000.0,2.0,,
1469278379855013861_1,1469278379855013861,,2000.0,7000.0,2.0,,
1469278379855013563_1,1469278379855013563,2.0,1999.0,3000.0,1.2,0.0,0.0
1469278379855012835_1,1469278379855012835,,1999.0,6000.0,1.0,,
1469278379855009880_1,1469278379855009880,,2003.0,14000.0,3.0,0.0,0.0
1469278379855009844_1,1469278379855009844,,1999.0,16000.0,3.0,0.0,0.0
1469278379855009842_1,1469278379855009842,3.0,2001.0,18000.0,3.5,,
1469278379855009842_2,1469278379855009842,2.0,2001.0,18000.0,3.5,,
1469278379854641911_1,1469278379854641911,3.0,1999.0,4500.0,1.5,0.0,0.0
1469278379854641911_2,1469278379854641911,2.0,1999.0,4500.0,1.5,0.0,0.0
1469278379855005159_1,1469278379855005159,,2015.0,1600.0,0.6,,
1469278379855008338_1,1469278379855008338,,2004.0,4000.0,1.0,0.0,0.0
1469278379854638788_1,1469278379854638788,,2005.0,10000.0,3.0,,
1469278379855008185_1,1469278379855008185,,2012.0,6000.0,2.0,,
1469278379855008185_2,1469278379855008185,,2006.0,6000.0,2.0,,
1469278379855009021_1,1469278379855009021,,1996.0,3000.0,1.0,,
1469278379855004887_1,1469278379855004887,,2011.0,4000.0,1.1,0.0,0.0
1469278379854638847_1,1469278379854638847,2.0,2014.0,20000.0,6.0,0.0,0.0
1469278379855004785_1,1469278379855004785,2.0,2017.0,8000.0,2.0,,
1469278379855004825_1,1469278379855004825,,2020.0,5000.0,1.0,,
1469278379855014199_1,1469278379855014199,,1999.0,18000.0,3.0,0.0,0.0
1469278379855014401_1,1469278379855014401,,2018.0,8000.0,1.3,,
1469278379854640837_1,1469278379854640837,,2007.0,9000.0,2.0,0.0,0.0
1469278379855014074_1,1469278379855014074,,2011.0,7000.0,1.6,0.0,0.0
1469278379854639556_1,1469278379854639556,,2016.0,7000.0,2.0,0.0,0.0
1469278379854640166_1,1469278379854640166,,2008.0,18000.0,5.0,0.0,0.0
1469883818362504681_1,1469883818362504681,1.0,,,,,
1469278379855014088_1,1469278379855014088,,2000.0,6000.0,1.8,0.0,0.0
1469278379855014073_1,1469278379855014073,,2017.0,8000.0,2.0,,
1469278379855014104_1,1469278379855014104,,1999.0,6000.0,1.9,,
1469278379855014345_1,1469278379855014345,,2020.0,1500.0,0.5,,
1469883818362504890_1,1469883818362504890,,2011.0,4000.0,1.3,0.0,0.0
1469278379855014289_1,1469278379855014289,,2001.0,5000.0,1.0,,
1469278379854641656_1,1469278379854641656,,2003.0,8000.0,2.0,0.0,0.0
1469278379854642031_1,1469278379854642031,3.0,2008.0,7000.0,2.0,0.0,0.0
1469278379854642031_2,1469278379854642031,2.0,2008.0,7000.0,2.0,0.0,0.0
1469278379855008648_1,1469278379855008648,,2004.0,5000.0,1.2,0.0,0.0
1469278379855008633_1,1469278379855008633,,2007.0,3000.0,1.0,,
1469278379854639991_1,1469278379854639991,3.0,2000.0,6000.0,2.0,0.0,0.0
1469278379854639991_2,1469278379854639991,2.0,2000.0,6000.0,2.0,0.0,0.0
1469883818362504409_1,1469883818362504409,,2002.0,3700.0,1.0,0.0,0.0
1469278379855014643_1,1469278379855014643,,1999.0,3000.0,0.5,0.0,0.0
1469278379855009318_1,1469278379855009318,2.0,2001.0,13000.0,2.5,,
1469278379854638141_1,1469278379854638141,,2005.0,4980.0,1.0,0.0,0.0
1469278379855009319_1,1469278379855009319,4.0,2003.0,10000.0,2.0,,
1469278379855009319_2,1469278379855009319,3.0,2003.0,10000.0,2.0,,
1469278379855009319_3,1469278379855009319,2.0,2003.0,10000.0,2.0,,
